,Date,Ticker,GICS Sector,GICS Sub-Industry,Close,Volume,Indicator_type,Indicator_trend,Trend,1d_pred,3d_pred,5d_pred,10d_pred
35,2019-04-17,ADP,Information Technology,Data Processing & Outsourced Services,162.85,1145400.0,Hammer,Bullish,True,162.44,165.0399932861328,163.86000061035156,158.4199981689453
36,2019-06-20,ADP,Information Technology,Data Processing & Outsourced Services,169.61,1192100.0,Hammer,Bearish,False,168.16,165.52000427246094,164.00999450683594,164.83999633789062
37,2019-07-10,ADP,Information Technology,Data Processing & Outsourced Services,164.54,1730000.0,Hammer,Bullish,True,165.21,165.00999450683594,165.38999938964844,167.2100067138672
38,2019-07-24,ADP,Information Technology,Data Processing & Outsourced Services,167.21,2063300.0,Hammer,Bearish,False,167.06,167.91000366210938,166.52000427246094,164.47000122070312
39,2019-10-03,ADP,Information Technology,Data Processing & Outsourced Services,157.54,1620400.0,Hammer,Bullish,True,159.17,156.32000732421875,160.72000122070312,163.8300018310547
40,2019-11-15,ADP,Information Technology,Data Processing & Outsourced Services,171.17,1611200.0,Hammer,Bearish,False,170.73,170.5800018310547,169.64999389648438,168.58999633789062
41,2020-04-29,ADP,Information Technology,Data Processing & Outsourced Services,145.84,2644300.0,Hammer,Bearish,False,146.69,144.47999572753906,144.55999755859375,134.5800018310547
42,2020-08-28,ADP,Information Technology,Data Processing & Outsourced Services,141.34,1079200.0,Hammer,Bullish,False,139.09,142.47999572753906,138.52999877929688,136.57000732421875
43,2020-09-01,ADP,Information Technology,Data Processing & Outsourced Services,138.53,1615700.0,Hammer,Bearish,True,142.48,138.52999877929688,137.25999450683594,137.7100067138672
44,2020-12-07,ADP,Information Technology,Data Processing & Outsourced Services,174.57,1115300.0,Hammer,Bullish,False,174.53,172.0,173.14999389648438,177.49000549316406
45,2020-12-24,ADP,Information Technology,Data Processing & Outsourced Services,176.56,371600.0,Hammer,Bullish,True,176.61,173.80999755859375,168.9600067138672,168.50999450683594
46,2021-01-15,ADP,Information Technology,Data Processing & Outsourced Services,161.12,2885000.0,Hammer,Bearish,True,161.98,161.02999877929688,163.67999267578125,166.35000610351562
47,2019-09-25,ALGN,Health Care,Health Care Supplies,183.63,854500.0,Hammer,Bearish,True,178.99,180.9199981689453,179.75,189.2100067138672
48,2019-12-13,ALGN,Health Care,Health Care Supplies,266.06,1011700.0,Hammer,Bearish,True,270.01,272.6099853515625,272.8900146484375,275.6300048828125
49,2020-02-06,ALGN,Health Care,Health Care Supplies,266.76,714100.0,Hammer,Bearish,False,258.67,264.4599914550781,272.9700012207031,260.260009765625
50,2020-07-30,ALGN,Health Care,Health Care Supplies,296.13,755000.0,Hammer,Bearish,False,293.82,288.2699890136719,301.79998779296875,312.2200012207031
51,2020-09-22,ALGN,Health Care,Health Care Supplies,322.57,492700.0,Hammer,Bearish,False,308.32,317.92999267578125,320.1700134277344,316.0799865722656
52,2021-03-12,ALGN,Health Care,Health Care Supplies,536.44,428400.0,Hammer,Bearish,False,558.85,540.010009765625,529.4600219726562,528.3400268554688
53,2019-07-22,GOOGL,Communication Services,Interactive Media & Services,1139.21,1445700.0,Hammer,Bullish,True,1148.05,1135.93994140625,1241.8399658203125,1154.75
54,2019-07-23,GOOGL,Communication Services,Interactive Media & Services,1148.05,1032400.0,Hammer,Bullish,False,1139.73,1245.219970703125,1228.0,1171.0799560546875
55,2019-12-05,GOOGL,Communication Services,Interactive Media & Services,1326.96,1220400.0,Hammer,Bearish,False,1339.39,1342.8900146484375,1348.489990234375,1356.43994140625
56,2020-02-14,GOOGL,Communication Services,Interactive Media & Services,1518.73,1159900.0,Hammer,Bullish,True,1519.44,1516.989990234375,1419.8599853515625,1386.3199462890625
57,2019-04-26,GOOG,Communication Services,Interactive Media & Services,1272.18,1241400.0,Hammer,Bullish,False,1287.58,1168.0799560546875,1185.4000244140625,1164.27001953125
58,2019-07-15,GOOG,Communication Services,Interactive Media & Services,1150.34,903800.0,Hammer,Bullish,False,1153.58,1146.3299560546875,1138.0699462890625,1239.4100341796875
59,2019-07-23,GOOG,Communication Services,Interactive Media & Services,1146.21,1093700.0,Hammer,Bullish,False,1137.81,1250.4100341796875,1225.1400146484375,1169.949951171875
60,2019-12-05,GOOG,Communication Services,Interactive Media & Services,1328.13,1212700.0,Hammer,Bullish,False,1340.62,1344.6600341796875,1350.27001953125,1356.0400390625
61,2020-01-13,GOOG,Communication Services,Interactive Media & Services,1439.23,1652300.0,Hammer,Bullish,False,1430.88,1451.699951171875,1484.4000244140625,1452.56005859375
62,2020-03-10,GOOG,Communication Services,Interactive Media & Services,1280.39,2611400.0,Hammer,Bullish,True,1215.41,1219.72998046875,1119.800048828125,1134.4599609375
63,2021-03-15,GOOG,Communication Services,Interactive Media & Services,2066.49,1298100.0,Hammer,Bullish,True,2092.52,2036.219970703125,2038.5899658203125,2055.949951171875
64,2019-07-15,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2020.99,2981300.0,Hammer,Bearish,False,2009.9,1977.9000244140625,1985.6300048828125,1912.449951171875
65,2019-07-23,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1994.49,2703500.0,Hammer,Bearish,False,2000.81,1943.050048828125,1898.530029296875,1787.8299560546875
66,2019-08-06,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1787.83,5070300.0,Hammer,Bearish,True,1793.4,1807.5799560546875,1824.3399658203125,1801.3800048828125
67,2019-08-26,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1768.87,3080000.0,Hammer,Bullish,True,1761.83,1786.4000244140625,1789.8399658203125,1820.550048828125
68,2019-10-03,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1724.42,3468200.0,Hammer,Bullish,True,1739.65,1705.510009765625,1720.260009765625,1787.47998046875
69,2019-12-16,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1769.21,3145200.0,Hammer,Bullish,False,1790.66,1792.280029296875,1793.0,1847.8399658203125
70,2020-03-13,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,1785.0,8809700.0,Hammer,Bullish,True,1689.15,1830.0,1846.0899658203125,1900.0999755859375
71,2020-05-07,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2367.61,3396400.0,Hammer,Bearish,False,2379.61,2356.949951171875,2388.85009765625,2446.739990234375
72,2020-06-02,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2472.41,2529900.0,Hammer,Bullish,False,2478.4,2483.0,2600.860107421875,2615.27001953125
73,2020-06-16,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2615.27,3585600.0,Hammer,Bearish,False,2640.98,2675.010009765625,2764.409912109375,2758.820068359375
74,2020-08-10,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,3148.16,3167300.0,Hammer,Bearish,True,3080.67,3161.02001953125,3182.409912109375,3307.4599609375
75,2020-10-01,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,3221.26,4971900.0,Hammer,Bullish,False,3125.0,3099.9599609375,3190.550048828125,3338.64990234375
76,2020-10-23,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,3204.4,3466700.0,Hammer,Bullish,True,3207.04,3162.780029296875,3036.14990234375,3311.3701171875
77,2021-03-15,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,3081.68,2913600.0,Hammer,Bullish,True,3091.86,3027.989990234375,3110.8701171875,3075.72998046875
78,2019-04-26,AMD,Information Technology,Semiconductors,27.88,48827900.0,Hammer,Bullish,True,27.69,26.809999465942383,28.219999313354492,27.959999084472656
79,2019-08-22,AMD,Information Technology,Semiconductors,31.9,47667900.0,Hammer,Bullish,False,29.54,30.200000762939453,31.450000762939453,30.559999465942383
80,2020-03-10,AMD,Information Technology,Semiconductors,45.38,76228200.0,Hammer,Bearish,True,45.7,43.900001525878906,41.880001068115234,46.220001220703125
81,2020-05-27,AMD,Information Technology,Semiconductors,52.74,102414500.0,Hammer,Bearish,True,51.74,53.630001068115234,52.72999954223633,57.439998626708984
82,2020-06-02,AMD,Information Technology,Semiconductors,53.54,42855200.0,Hammer,Bullish,True,52.73,53.099998474121094,56.38999938964844,54.459999084472656
83,2020-06-08,AMD,Information Technology,Semiconductors,52.97,39681700.0,Hammer,Bearish,False,56.39,52.83000183105469,54.68000030517578,54.7599983215332
84,2020-06-29,AMD,Information Technology,Semiconductors,50.28,49905800.0,Hammer,Bullish,True,52.61,52.34000015258789,52.93000030517578,54.720001220703125
85,2020-07-08,AMD,Information Technology,Semiconductors,53.43,35608300.0,Hammer,Bullish,True,57.26,53.59000015258789,55.34000015258789,61.790000915527344
86,2020-07-15,AMD,Information Technology,Semiconductors,55.34,42360300.0,Hammer,Bullish,False,54.92,57.459999084472656,61.790000915527344,76.08999633789062
87,2021-01-19,AMD,Information Technology,Semiconductors,89.45,45115100.0,Hammer,Bearish,True,88.75,92.79000091552734,94.70999908447266,88.86000061035156
88,2019-04-02,AEP,Utilities,Electric Utilities,83.08,3306400.0,Hammer,Bearish,False,82.91,83.56999969482422,83.56999969482422,83.05000305175781
89,2019-07-22,AEP,Utilities,Electric Utilities,90.12,1390800.0,Hammer,Bearish,True,89.51,89.08000183105469,89.73999786376953,88.0199966430664
